epoch	loss	acc	val_loss	val_acc
0	0.7580196261405945	0.5799999833106995	0.7116450667381287	0.47999998927116394
1	0.8835800290107727	0.5	0.693382740020752	0.5199999809265137
2	0.8240800499916077	0.5	0.6909323334693909	0.5199999809265137
3	0.8269667625427246	0.4399999976158142	0.6943128108978271	0.47999998927116394
4	0.7667860388755798	0.4699999988079071	0.7108523845672607	0.47999998927116394
5	0.7918205261230469	0.46000000834465027	0.715409517288208	0.47999998927116394
6	0.7516353130340576	0.5400000214576721	0.6790111064910889	0.47999998927116394
7	0.7702800035476685	0.5	0.636833667755127	0.9300000071525574
8	0.7151543498039246	0.6000000238418579	0.6043263077735901	0.8600000143051147
9	0.7527721524238586	0.5899999737739563	0.5798150897026062	0.7599999904632568
10	0.7145969867706299	0.5600000023841858	0.5378060936927795	0.75
11	0.6360257863998413	0.6600000262260437	0.4774687588214874	0.9100000262260437
12	0.5383056402206421	0.7400000095367432	0.4123173654079437	0.9300000071525574
13	0.5146697163581848	0.6800000071525574	0.35068923234939575	0.9300000071525574
14	0.36988145112991333	0.9100000262260437	0.28357815742492676	0.9300000071525574
15	0.29031527042388916	0.9300000071525574	0.2747019827365875	0.9200000166893005
16	0.25128400325775146	0.9399999976158142	0.2880656123161316	0.8799999952316284
17	0.2497955709695816	0.949999988079071	0.18726395070552826	0.9900000095367432
18	0.21864977478981018	0.9300000071525574	0.19969628751277924	0.9300000071525574
19	0.13747775554656982	0.9599999785423279	0.18829765915870667	0.9300000071525574
20	0.15597276389598846	0.9700000286102295	0.12179496139287949	0.9300000071525574
21	0.08114820718765259	0.9800000190734863	0.10794676840305328	0.9900000095367432
22	0.06726044416427612	0.9900000095367432	0.10046011954545975	0.9900000095367432
23	0.07256832718849182	0.9900000095367432	0.06395568698644638	0.9900000095367432
24	0.04381061717867851	1.0	0.045292120426893234	1.0
25	0.040437594056129456	0.9900000095367432	0.03862852603197098	1.0
26	0.036601386964321136	0.9900000095367432	0.030008401721715927	1.0
27	0.024843692779541016	1.0	0.01853076182305813	1.0
28	0.014629780314862728	1.0	0.012494349852204323	1.0
29	0.008285820484161377	1.0	0.010731530375778675	1.0
30	0.013604693114757538	1.0	0.010594483464956284	1.0
31	0.006276140920817852	1.0	0.010316758416593075	1.0
32	0.010474272072315216	1.0	0.007610237691551447	1.0
33	0.004181841388344765	1.0	0.005466698203235865	1.0
34	0.004105377942323685	1.0	0.004271254409104586	1.0
35	0.003275176975876093	1.0	0.003879752242937684	1.0
36	0.0024716095067560673	1.0	0.003784809960052371	1.0
37	0.002366189146414399	1.0	0.0029550809413194656	1.0
38	0.003506224136799574	1.0	0.0018557029543444514	1.0
39	0.0009026657789945602	1.0	0.0012854028027504683	1.0
40	0.0008859990048222244	1.0	0.0009757304796949029	1.0
41	0.0008828275022096932	1.0	0.0008091143681667745	1.0
